date,region,product,quantity,revenue,category
2024-01-05,North,Laptop,12,14400,Electronics
2024-01-08,South,Desk Chair,45,6750,Furniture
2024-01-12,East,Monitor,28,8400,Electronics
2024-01-15,West,Notebook,120,600,Office
2024-01-18,North,Headphones,65,9750,Electronics
2024-01-22,South,Standing Desk,18,12600,Furniture
2024-01-25,East,Keyboard,90,4500,Electronics
2024-01-28,West,Printer,14,4200,Office
2024-02-02,North,Tablet,22,11000,Electronics
2024-02-06,South,Office Lamp,55,2750,Furniture
2024-02-10,East,Webcam,40,3200,Electronics
2024-02-14,West,Paper Pack,200,1000,Office
2024-02-18,North,Smartphone,35,24500,Electronics
2024-02-22,South,Conference Table,6,18000,Furniture
2024-02-26,East,Mouse,110,3300,Electronics
2024-03-01,West,Ink Cartridge,75,3750,Office
2024-03-05,North,Router,30,4500,Electronics
2024-03-09,South,File Cabinet,25,6250,Furniture
2024-03-13,East,USB Hub,80,2400,Electronics
2024-03-17,West,Stapler,150,750,Office
2024-03-21,North,Smartwatch,18,9000,Electronics
2024-03-25,South,Whiteboard,10,5000,Furniture
2024-03-29,East,SSD Drive,42,8400,Electronics
2024-04-02,West,Envelopes,300,900,Office
2024-04-06,North,Gaming PC,8,16000,Electronics
2024-04-10,South,Ergonomic Chair,32,12800,Furniture
2024-04-14,East,Graphics Card,15,12000,Electronics
2024-04-18,West,Label Maker,20,2000,Office
2024-04-22,North,Drone,5,7500,Electronics
2024-04-26,South,Bookshelf,14,4200,Furniture
2024-04-30,East,Power Bank,95,4750,Electronics
